Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Total Inv
ANGELONE,EQ,03-Aug-22,1353.9,1365,1379.5,1288.95,1309.9,1313.1,1333.99,443072,591055792.1,18360,183470,41.41,24.47471453
ANGELONE,EQ,04-Aug-22,1313.1,1325,1327.3,1242.2,1257,1253.2,1268.66,909859,1154300775,38802,384168,42.22,48.73785749
ANGELONE,EQ,05-Aug-22,1253.2,1268,1287,1260,1272.2,1270.6,1271.23,427048,542876827.7,16880,154502,36.18,19.64075775
ANGELONE,EQ,08-Aug-22,1270.6,1284.4,1299,1273,1289,1287.75,1288.29,360949,465007489.3,14547,120932,33.5,15.57954863
ANGELONE,EQ,10-Aug-22,1287.75,1289.25,1296.75,1256,1267,1264.15,1267.12,316931,401590914,17654,121401,38.31,15.38296351
ANGELONE,EQ,11-Aug-22,1264.15,1280,1313.35,1255,1309.5,1308.55,1291,659984,852037088.7,26449,193174,29.27,24.9387634
ANGELONE,EQ,12-Aug-22,1308.55,1295,1308,1270,1283,1282.25,1283.78,319596,410291987.5,18576,113939,35.65,14.62726094
ANGELONE,EQ,16-Aug-22,1282.25,1288,1304.9,1271.95,1287,1286.65,1282.49,415090,532349504,12751,195386,47.07,25.05805911
ANGELONE,EQ,17-Aug-22,1286.65,1292.45,1325,1287.2,1319,1319.5,1307.75,568570,743545724,19553,186253,32.76,24.35723608
ANGELONE,EQ,18-Aug-22,1319.5,1326,1354,1310.8,1329.15,1331.15,1333.03,562139,749346859.5,20809,222775,39.63,29.69657583
ANGELONE,EQ,19-Aug-22,1331.15,1322,1340,1285.05,1293.85,1295.05,1307.61,358052,468190913.9,16851,122661,34.26,16.03927502
ANGELONE,EQ,22-Aug-22,1295.05,1280,1312.5,1275,1296,1293.05,1293.8,311406,402898289.8,14660,103173,33.13,13.34852274
ANGELONE,EQ,23-Aug-22,1293.05,1266.6,1298.2,1264,1282.95,1278.9,1277.42,297064,379476732,12554,92495,31.14,11.81549629
ANGELONE,EQ,24-Aug-22,1278.9,1287.85,1303.6,1258.15,1268,1264.7,1278.88,289299,369980005.1,12327,115465,39.91,14.76658792
ANGELONE,EQ,25-Aug-22,1264.7,1279.35,1325,1270.85,1321,1318.55,1305.57,629330,821636007.9,21203,262788,41.76,34.30881292
ANGELONE,EQ,26-Aug-22,1318.55,1326,1364,1321,1324,1332.95,1344.53,661766,889764156.9,23884,261663,39.54,35.18137534
ANGELONE,EQ,29-Aug-22,1332.95,1275,1303,1272.35,1295.9,1291.65,1292.73,325791,421159761.5,13225,134619,41.32,17.40260199
ANGELONE,EQ,30-Aug-22,1291.65,1307.45,1320,1297.85,1308,1307.3,1309.34,273393,357964470.5,9747,108329,39.62,14.18394929
ANGELONE,EQ,01-Sep-22,1307.3,1300,1332,1297.55,1318,1316.3,1318.79,296307,390766384.3,12881,140832,47.53,18.57278333
ANGELONE,EQ,02-Sep-22,1316.3,1324.6,1357.75,1321,1330.8,1327.1,1336.85,279333,373426077,12978,109158,39.08,14.59278723
ANGELONE,EQ,05-Sep-22,1327.1,1340,1369,1332,1339,1340.15,1354.08,591103,800399145.7,22098,201844,34.15,27.33129235
ANGELONE,EQ,06-Sep-22,1340.15,1350.95,1433.8,1347.65,1389.5,1387.05,1395.36,1283863,1791446170,42486,390608,30.42,54.50387789
