"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RPGLIFE","EQ","18-Jul-2022","        566.35","        563.00","        574.55","        563.00","        567.00","        569.50","        570.71","       3450","             1968945.10","        359","       1932","         56.00"
"RPGLIFE","EQ","19-Jul-2022","        569.50","        567.00","        579.00","        557.55","        579.00","        577.20","        571.17","       7115","             4063844.50","        772","       3553","         49.94"
"RPGLIFE","EQ","20-Jul-2022","        577.20","        579.00","        588.00","        575.00","        575.00","        576.40","        581.69","       7009","             4077093.00","        562","       4640","         66.20"
"RPGLIFE","EQ","21-Jul-2022","        576.40","        572.05","        582.10","        567.50","        574.00","        572.70","        576.10","       3926","             2261764.00","        400","       2159","         54.99"
"RPGLIFE","EQ","22-Jul-2022","        572.70","        575.60","        596.15","        572.00","        594.00","        594.55","        588.11","      17085","            10047788.10","        979","      12247","         71.68"
"RPGLIFE","EQ","25-Jul-2022","        594.55","        596.00","        639.95","        596.00","        622.15","        623.60","        624.01","      89284","            55714386.45","       5205","      36828","         41.25"
"RPGLIFE","EQ","26-Jul-2022","        623.60","        629.35","        633.50","        611.15","        612.00","        617.45","        621.95","      23167","            14408819.85","       1682","      11898","         51.36"
"RPGLIFE","EQ","27-Jul-2022","        617.45","        619.00","        619.00","        600.60","        603.45","        603.35","        609.44","      11650","             7100014.25","        898","       7825","         67.17"
"RPGLIFE","EQ","28-Jul-2022","        603.35","        614.50","        614.50","        595.10","        595.10","        600.45","        604.29","       7523","             4546058.40","        717","       3688","         49.02"
"RPGLIFE","EQ","29-Jul-2022","        600.45","        603.50","        620.00","        590.15","        602.10","        605.45","        605.32","      13509","             8177221.75","       1519","       6097","         45.13"
"RPGLIFE","EQ","01-Aug-2022","        605.45","        602.00","        618.00","        599.45","        610.00","        606.90","        609.55","      12691","             7735778.45","        883","       6555","         51.65"
"RPGLIFE","EQ","02-Aug-2022","        606.90","        609.00","        629.05","        607.50","        612.00","        612.65","        617.91","      25646","            15847016.95","       1483","      12595","         49.11"
"RPGLIFE","EQ","03-Aug-2022","        612.65","        689.75","        708.95","        663.80","        667.00","        674.90","        689.26","     618603","           426376501.05","      28059","     118164","         19.10"
"RPGLIFE","EQ","04-Aug-2022","        674.90","        670.00","        676.70","        649.00","        654.10","        658.15","        663.11","      72883","            48329089.75","       4866","      29622","         40.64"
"RPGLIFE","EQ","05-Aug-2022","        658.15","        655.00","        667.75","        640.25","        640.80","        644.40","        650.88","      30465","            19829096.40","       3296","      18081","         59.35"
"RPGLIFE","EQ","08-Aug-2022","        644.40","        650.00","        690.00","        646.00","        686.00","        684.30","        676.94","      99546","            67386307.95","       6458","      44636","         44.84"
"RPGLIFE","EQ","10-Aug-2022","        684.30","        690.00","        703.80","        680.00","        696.00","        697.55","        696.87","     104134","            72567822.90","       4114","      53390","         51.27"
"RPGLIFE","EQ","11-Aug-2022","        697.55","        703.90","        703.90","        661.05","        662.80","        666.25","        682.88","      37628","            25695475.20","       2201","      23077","         61.33"
"RPGLIFE","EQ","12-Aug-2022","        666.25","        665.00","        680.15","        662.75","        675.00","        675.85","        673.06","      31008","            20870126.95","       1899","      15424","         49.74"
"RPGLIFE","EQ","16-Aug-2022","        675.85","        679.45","        744.80","        677.05","        733.80","        730.25","        726.90","     304179","           221108308.90","      14160","      88353","         29.05"
"RPGLIFE","EQ","17-Aug-2022","        730.25","        736.00","        753.15","        716.00","        721.00","        728.05","        735.11","     129183","            94963796.90","       8813","      43938","         34.01"
"RPGLIFE","EQ","18-Aug-2022","        728.05","        734.00","        735.15","        711.15","        713.85","        714.80","        720.20","      40524","            29185327.75","       2654","      21981","         54.24"
"RPGLIFE","EQ","19-Aug-2022","        714.80","        718.00","        725.15","        703.35","        713.50","        708.70","        712.47","      41413","            29505652.40","       2865","      21023","         50.76"
"RPGLIFE","EQ","22-Aug-2022","        708.70","        710.00","        749.00","        710.00","        729.35","        723.50","        734.33","     116490","            85541665.00","       8320","      38844","         33.35"
